id,name,year,category,country
899,Droogmakerij de Beemster (Beemster Polder),1999,Cultural,Netherlands
900,Western Caucasus,1999,Natural,Russian Federation
901,Litomyšl Castle,1999,Cultural,Czechia
902,Historic Centre of Sighi?oara,1999,Cultural,Romania
904,Wooden Churches of Maramure?,1999,Cultural,Romania
905,Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,1999,Cultural,Poland
906,Dacian Fortresses of the Orastie Mountains,1999,Cultural,Romania
907,Villa Adriana (Tivoli),1999,Cultural,Italy
908,Isole Eolie (Aeolian Islands),2000,Natural,Italy
910,Brimstone Hill Fortress National Park,1999,Cultural,Saint Kitts and Nevis
911,Mount Wuyi,1999,Mixed,China
912,Dazu Rock Carvings,1999,Cultural,China
913,Shrines and Temples of Nikko,1999,Cultural,Japan
914,iSimangaliso Wetland Park,1999,Natural,South Africa
915,Fossil Hominid Sites of South Africa,1999,Cultural,South Africa
916,Robben Island,1999,Cultural,South Africa
917,Greater Blue Mountains Area,2000,Natural,Australia
922,Rani-ki-Vav (the Queen’s Stepwell) at Patan - Gujarat,2014,Cultural,India
925,Rock Shelters of Bhimbetka,2003,Cultural,India
928,Area de Conservación Guanacaste,1999,Natural,Costa Rica
929,San Cristóbal de La Laguna,1999,Cultural,Spain
930,Palmeral of Elche,2000,Cultural,Spain
931,City of Graz – Historic Centre and Schloss Eggenberg,1999,Cultural,Austria
932,Jurisdiction of Saint-Emilion,1999,Cultural,France
933,The Loire Valley between Sully-sur-Loire and Chalonnes,2000,Cultural,France
934,Laurisilva of Madeira,1999,Natural,Portugal
936,Cueva de las Manos - Río Pinturas,1999,Cultural,Argentina
937,Península Valdés,1999,Natural,Argentina
938,Sukur Cultural Landscape,1999,Cultural,Nigeria
939,Archaeological Monuments Zone of Xochicalco,1999,Cultural,Mexico
940,Historic Inner City of Paramaribo,2002,Cultural,Suriname
941,Archaeological Sites of Mycenae and Tiryns,1999,Cultural,Greece
942,The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,1999,Cultural,Greece
944,Mountain Railways of India,1999,Cultural,India
945,Chhatrapati Shivaji Terminus (formerly Victoria Terminus),2004,Cultural,India
946,Old Bridge Area of the Old City of Mostar,2005,Cultural,Bosnia and Herzegovina
948,Hoi An Ancient Town,1999,Cultural,Viet Nam
949,My Son Sanctuary,1999,Cultural,Viet Nam
950,Royal Hill of Ambohimanga,2001,Cultural,Madagascar
951,Phong Nha-Ke Bang National Park,2003,Natural,Viet Nam
954,Saint Catherine Area,2002,Cultural,Egypt
955,Lorentz National Park,1999,Natural,Indonesia
956,Island of Saint-Louis,2000,Cultural,Senegal
958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,2000,Cultural,Azerbaijan
959,Historic Quarter of the Seaport City of Valparaíso,2003,Cultural,Chile
960,Monastery of Geghard and the Upper Azat Valley,2000,Cultural,Armenia
963,The Cathedral of St James in Šibenik,2000,Cultural,Croatia
965,Rietveld Schröderhuis (Rietveld Schröder House),2000,Cultural,Netherlands
966,Ischigualasto / Talampaya Natural Parks,2000,Natural,Argentina
967,Noel Kempff Mercado National Park,2000,Natural,Bolivia (Plurinational State of)
968,Agricultural Landscape of Southern Öland,2000,Cultural,Sweden
970,Wachau Cultural Landscape,2000,Cultural,Austria
971,Churches of Chiloé,2000,Cultural,Chile
972,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,2000,Cultural,Japan
973,Bardejov Town Conservation Reserve,2000,Cultural,Slovakia
974,Monastic Island of Reichenau,2000,Cultural,Germany
975,Zollverein Coal Mine Industrial Complex in Essen,2001,Cultural,Germany
976,Gyeongju Historic Areas,2000,Cultural,Republic of Korea
977,Gochang - Hwasun and Ganghwa Dolmen Sites,2000,Cultural,Republic of Korea
978,Old Town of Corfu,2007,Cultural,Greece
980,Historic and Architectural Complex of the Kazan Kremlin,2000,Cultural,Russian Federation
981,Bolgar Historical and Archaeological Complex,2014,Cultural,Russian Federation
982,Ensemble of the Ferapontov Monastery,2000,Cultural,Russian Federation
983,Historic Town of St George and Related Fortifications - Bermuda,2000,Cultural,United Kingdom of Great Britain and Northern Ireland
984,Blaenavon Industrial Landscape,2000,Cultural,United Kingdom of Great Britain and Northern Ireland
986,Ciudad Universitaria de Caracas,2000,Cultural,Venezuela (Bolivarian Republic of)
987,Roman Walls of Lugo,2000,Cultural,Spain
988,Catalan Romanesque Churches of the Vall de Boí,2000,Cultural,Spain
989,Archaeological Site of Atapuerca,2000,Cultural,Spain
990,Assisi - the Basilica of San Francesco and Other Franciscan Sites,2000,Cultural,Italy
993,Historic Centre of the Town of Goiás,2001,Cultural,Brazil
995,Jesuit Block and Estancias of Córdoba,2000,Cultural,Argentina
996,Historic Centre of Brugge,2000,Cultural,Belgium
998,Central Amazon Conservation Complex,2000,Natural,Brazil
999,Pantanal Conservation Area,2000,Natural,Brazil
1000,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,2001,Natural,Brazil
1001,Mount Qingcheng and the Dujiangyan Irrigation System,2000,Cultural,China
1002,Ancient Villages in Southern Anhui – Xidi and Hongcun,2000,Cultural,China
1003,Longmen Grottoes,2000,Cultural,China
1004,Imperial Tombs of the Ming and Qing Dynasties,2000,Cultural,China
1005,Major Town Houses of the Architect Victor Horta (Brussels),2000,Cultural,Belgium
1006,Neolithic Flint Mines at Spiennes (Mons),2000,Cultural,Belgium
1007,Cape Floral Region Protected Areas,2004,Natural,South Africa
1008,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,2000,Cultural,Cuba
1009,Notre-Dame Cathedral in Tournai,2000,Cultural,Belgium
1010,Land of Frankincense,2000,Cultural,Oman
1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,2000,Cultural,Armenia
1012,Kinabalu Park,2000,Natural,Malaysia
1013,Gunung Mulu National Park,2000,Natural,Malaysia
1016,Historical Centre of the City of Arequipa,2000,Cultural,Peru
1017,Central Suriname Nature Reserve,2000,Natural,Suriname
1018,Ephesus,2015,Cultural,Turkey
1021,Tsodilo,2001,Cultural,Botswana
1022,Tombs of Buganda Kings at Kasubi,2001,Cultural,Uganda
1023,Natural System of Wrangel Island Reserve,2004,Natural,Russian Federation
1024,Late Baroque Towns of the Val di Noto (South-Eastern Sicily),2002,Cultural,Italy
1025,Villa d'Este - Tivoli,2001,Cultural,Italy
1026,Val d'Orcia,2004,Cultural,Italy
1027,Mining Area of the Great Copper Mountain in Falun,2001,Cultural,Sweden
1028,Saltaire,2001,Cultural,United Kingdom of Great Britain and Northern Ireland
1029,Dorset and East Devon Coast,2001,Natural,United Kingdom of Great Britain and Northern Ireland
1030,Derwent Valley Mills,2001,Cultural,United Kingdom of Great Britain and Northern Ireland
1031,Historic Centre of Guimarães,2001,Cultural,Portugal
1033,Historic Centre of Vienna,2001,Cultural,Austria
1035,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,2001,Natural,Brazil
1037,Swiss Alps Jungfrau-Aletsch,2001,Natural,Switzerland
1039,Yungang Grottoes,2001,Cultural,China
1040,Masada,2001,Cultural,Israel
1042,Old City of Acre,2001,Cultural,Israel
1044,Aranjuez Cultural Landscape,2001,Cultural,Spain
1046,Alto Douro Wine Region,2001,Cultural,Portugal
1052,Tugendhat Villa in Brno,2001,Cultural,Czechia
1053,Wooden Churches of Southern Ma?opolska,2003,Cultural,Poland
1054,Churches of Peace in Jawor and ?widnica,2001,Cultural,Poland
1055,Lamu Old Town,2001,Cultural,Kenya
1056,Mahabodhi Temple Complex at Bodh Gaya,2002,Cultural,India
1058,Portuguese City of Mazagan (El Jadida),2004,Cultural,Morocco
1060,Kenya Lake System in the Great Rift Valley,2011,Natural,Kenya
1061,Ancient Maya City and Protected Tropical Forests of Calakmul - Campeche,2002,Mixed,Mexico
1063,Tokaj Wine Region Historic Cultural Landscape,2002,Cultural,Hungary
1066,Upper Middle Rhine Valley,2002,Cultural,Germany
1067,Historic Centres of Stralsund and Wismar,2002,Cultural,Germany
1068,<I>Sacri Monti</I> of Piedmont and Lombardy,2003,Cultural,Italy
1070,Citadel - Ancient City and Fortress Buildings of Derbent,2003,Cultural,Russian Federation
1073,Gebel Barkal and the Sites of the Napatan Region,2003,Cultural,Sudan
1076,Gobustan Rock Art Cultural Landscape,2007,Cultural,Azerbaijan
1077,Takht-e Soleyman,2003,Cultural,Iran (Islamic Republic of)
1078,Jewish Quarter and St Procopius' Basilica in T?ebí?,2003,Cultural,Czechia
1079,Franciscan Missions in the Sierra Gorda of Querétaro,2003,Cultural,Mexico
1081,Orkhon Valley Cultural Landscape,2004,Cultural,Mongolia
1083,Three Parallel Rivers of Yunnan Protected Areas,2003,Natural,China
1084,Royal Botanic Gardens - Kew,2003,Cultural,United Kingdom of Great Britain and Northern Ireland
1087,Town Hall and Roland on the Marketplace of Bremen,2004,Cultural,Germany
1091,Complex of Koguryo Tombs,2004,Cultural,Democratic People's Republic of Korea
1093,Um er-Rasas (Kastrom Mefa'a),2004,Cultural,Jordan
1094,Purnululu National Park,2003,Natural,Australia
1096,White City of Tel-Aviv -- the Modern Movement,2003,Cultural,Israel
1097,Ensemble of the Novodevichy Convent,2004,Cultural,Russian Federation
1099,Mapungubwe Cultural Landscape,2003,Cultural,South Africa
1100,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,2012,Cultural,Brazil
1101,Champaner-Pavagadh Archaeological Park,2004,Cultural,India
1102,Saryarka – Steppe and Lakes of Northern Kazakhstan,2008,Natural,Kazakhstan
1103,Mausoleum of Khoja Ahmed Yasawi,2003,Cultural,Kazakhstan
1106,Pasargadae,2004,Cultural,Iran (Islamic Republic of)
1107,Incense Route - Desert Cities in the Negev,2005,Cultural,Israel
1108,Biblical Tels - Megiddo - Hazor - Beer Sheba,2005,Cultural,Israel
1110,Historic Centre of Macao,2005,Cultural,China
1111,Cultural Landscape of Honghe Hani Rice Terraces ,2013,Cultural,China
1112,Kaiping Diaolou and Villages,2007,Cultural,China
1113,Fujian <em>Tulou</em>,2008,Cultural,China
1114,Yin Xu,2006,Cultural,China
1115,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,2008,Natural,France
1116,Quebrada de Humahuaca,2003,Cultural,Argentina
1117,Landscape of the Pico Island Vineyard Culture,2004,Cultural,Portugal
1118,Osun-Osogbo Sacred Grove,2005,Cultural,Nigeria
1121,Coffee Cultural Landscape of Colombia,2011,Cultural,Colombia
1130,Ashur (Qal'at Sherqat),2003,Cultural,Iraq
1131,Royal Exhibition Building and Carlton Gardens,2004,Cultural,Australia
1134,Grimeton Radio Station - Varberg,2004,Cultural,Sweden
1135,Capital Cities and Tombs of the Ancient Koguryo Kingdom,2004,Cultural,China
1136,Luis Barragán House and Studio,2004,Cultural,Mexico
1137,Kernav?  Archaeological Site (Cultural Reserve of Kernav?),2004,Cultural,Lithuania
1138,Coiba National Park and its Special Zone of Marine Protection,2005,Natural,Panama
1139,Tomb of Askia,2004,Cultural,Mali
1140,Koutammakou - the Land of the Batammariba,2004,Cultural,Togo
1141,Proto-urban Site of Sarazm,2010,Cultural,Tajikistan
1142,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,2004,Cultural,Japan
1143,Vegaøyan – The Vega Archipelago,2004,Cultural,Norway
1145,Petroglyphs within the Archaeological Landscape of Tamgaly,2004,Cultural,Kazakhstan
1147,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,2007,Mixed,Gabon
1149,Ilulissat Icefjord,2004,Natural,Denmark
1150,Liverpool – Maritime Mercantile City,2004,Cultural,United Kingdom of Great Britain and Northern Ireland
1152,Þingvellir National Park,2004,Cultural,Iceland
1153,The Causses and the Cévennes - Mediterranean agro-pastoral Cultural Landscape,2011,Cultural,France
1155,Old town of Regensburg with Stadtamhof,2006,Cultural,Germany
1158,Etruscan Necropolises of Cerveteri and Tarquinia,2004,Cultural,Italy
1160,Madriu-Perafita-Claror Valley,2004,Cultural,Andorra
1161,Pitons Management Area,2004,Natural,Saint Lucia
1162,Vredefort Dome,2005,Natural,South Africa
1165,Centennial Hall in Wroc?aw,2006,Cultural,Poland
1167,Tropical Rainforest Heritage of Sumatra,2004,Natural,Indonesia
1170,Historical Centre of the City of Yaroslavl,2005,Cultural,Russian Federation
1178,Humberstone and Santa Laura Saltpeter Works,2005,Cultural,Chile
